eid,sid,v,d
1,0,5,6
2,1,5,5
3,2,7,10
4,3,9,9
5,4,5,7
6,5,5,6
7,4,7,5
8,6,8,6
9,8,7,5
10,8,7,9
11,10,9,8
12,11,10,9
13,12,5,5
14,13,9,5
15,8,6,6
16,12,8,9
17,12,8,9
18,13,8,7
19,2,6,10
20,18,9,5
21,9,9,8
22,21,10,7
23,22,7,10
24,20,8,10
25,12,8,7
26,24,9,10
27,3,9,5
28,19,9,9
29,23,7,6
30,24,9,5
31,22,8,6
32,30,8,5
33,16,5,6
34,1,6,8
35,3,5,6
36,2,10,10
37,3,6,8
38,32,7,8
39,29,9,9
40,19,6,8
41,39,7,5
42,29,8,8
43,36,8,9
44,22,8,10
45,42,8,8
46,41,6,9
47,44,6,8
48,32,9,5
49,22,5,8
50,19,5,8
51,17,10,7
52,46,8,10
53,50,10,10
54,43,5,10
55,40,8,9
56,5,10,5
57,53,10,10
58,44,7,5
59,57,7,7
60,48,5,6
61,45,5,7
62,59,8,6
63,26,10,8
64,50,7,8
65,46,9,10
66,62,7,6
67,24,10,5
68,53,10,8
69,38,5,8
70,53,10,6
71,62,8,9
72,55,10,8
73,15,6,10
74,70,5,9
75,45,5,5
76,7,9,8
77,20,10,6
78,24,9,9
79,17,8,7
80,46,8,6
81,12,7,6
82,74,10,6
83,38,6,7
84,46,5,10
85,53,9,6
86,53,10,9
87,43,9,5
88,68,8,7
89,74,6,8
90,71,9,7
91,86,6,8
92,44,9,7
93,78,8,5
94,91,5,9
95,42,7,9
96,70,9,9
97,93,6,8
98,53,8,5
99,91,9,6
100,55,9,6
101,48,5,9
102,99,9,6
103,96,9,10
104,43,8,7
105,53,5,10
106,104,10,7
107,78,9,8
108,78,5,10
109,107,5,9
110,90,9,8
111,59,10,5
112,78,8,10
113,43,8,5
114,1,10,7
115,30,7,5
116,114,6,8
117,86,7,8
118,83,5,9
119,95,5,10
120,107,6,10
121,43,9,7
122,43,8,6
123,110,7,5
124,120,5,8
125,85,5,5
126,82,9,6
127,24,9,8
128,1,7,8
129,51,5,10
130,86,6,9
131,58,6,7
132,121,7,8
133,62,5,6
134,78,7,5
135,24,7,6
136,24,9,7
137,17,8,6
138,52,10,7
139,86,7,8
140,50,5,6
141,89,9,10
142,139,7,6
143,72,6,10
144,109,7,5
145,53,6,10
146,142,5,5
147,102,7,10
148,43,6,6
149,21,7,7
150,71,9,10
151,92,7,7
152,142,9,7
153,101,10,10
154,46,5,9
155,123,10,10
156,78,8,7
157,154,8,8
158,17,7,6
159,146,5,10
160,59,7,5
161,89,9,6
162,161,6,8
163,162,9,8
164,153,10,10
165,112,7,9
166,136,5,5
167,40,9,5
168,167,10,6
169,126,8,8
170,161,10,9
171,132,5,6
172,29,5,10
173,78,9,6
174,91,7,9
175,117,5,8
176,83,5,8
177,23,7,7
178,63,5,9
179,123,6,5
180,101,6,6
181,50,10,9
182,150,5,10
183,23,5,9
184,119,7,8
185,34,8,5
186,155,9,6
187,50,5,5
188,74,6,9
189,68,9,8
190,64,5,7
191,53,9,8
192,125,8,9
193,143,10,5
194,163,10,6
195,128,5,10
196,112,7,8
