eid,sid,v,d
1,0,5,5
2,1,8,6
3,2,6,7
4,3,9,7
5,4,9,7
6,5,10,5
7,6,10,5
8,5,5,10
9,7,5,5
10,2,7,7
11,7,5,6
12,8,7,10
13,11,5,8
14,13,8,7
15,13,5,10
16,14,6,9
17,16,8,6
18,7,7,10
19,17,7,9
20,10,5,7
21,7,9,5
22,6,9,6
23,0,9,10
24,19,10,10
25,24,6,9
26,15,6,8
27,20,9,8
28,19,6,10
29,28,10,9
30,20,5,6
31,23,5,7
32,28,8,10
33,31,8,7
34,8,7,9
35,32,5,5
36,29,7,8
37,29,10,9
38,32,5,10
39,14,7,10
40,38,7,6
41,26,6,10
42,14,8,7
43,1,5,10
44,25,7,8
45,34,9,9
46,26,8,8
47,21,5,7
48,32,6,6
49,42,7,9
50,35,8,8
51,40,5,7
52,49,5,10
53,2,8,5
54,12,5,10
55,4,5,10
56,25,5,9
57,37,9,9
58,43,6,8
59,52,7,7
60,8,10,7
61,53,5,5
62,24,7,5
63,48,10,7
64,46,7,9
65,43,6,5
66,37,6,5
67,56,9,5
68,47,5,10
69,31,10,8
70,45,7,8
71,20,5,6
72,43,10,10
73,33,8,5
74,49,7,8
75,4,8,6
76,68,9,6
77,66,8,7
78,40,6,9
79,19,6,9
80,45,6,5
81,59,6,5
82,24,10,7
83,80,9,9
84,45,8,9
85,73,10,7
86,37,8,8
87,66,5,10
88,20,7,8
89,72,10,5
90,64,8,5
91,80,7,6
92,68,5,8
93,45,6,7
94,92,8,6
95,57,7,10
96,90,7,7
97,87,6,10
98,38,5,8
99,43,5,7
100,96,8,9
101,32,8,6
102,91,8,8
103,92,9,10
104,2,9,9
105,40,6,5
106,80,10,8
107,72,6,5
108,103,8,10
109,34,6,9
110,33,9,7
111,75,6,8
112,104,7,8
113,62,6,7
114,23,8,8
115,59,7,7
116,108,8,8
117,106,7,10
118,106,7,5
119,115,6,10
120,82,6,7
121,45,7,10
122,90,9,8
123,107,8,5
124,72,8,8
125,72,7,7
126,111,9,8
127,124,6,9
128,73,9,6
129,128,7,9
130,28,8,6
131,118,8,6
132,105,8,9
133,120,10,10
134,125,5,7
135,103,6,6
136,124,9,7
137,132,7,8
138,103,7,5
139,64,8,9
140,41,9,7
141,118,8,6
142,68,9,5
143,22,8,6
144,116,9,6
145,126,9,10
146,127,10,8
147,115,6,6
148,144,5,6
149,43,9,7
150,133,10,5
151,38,5,9
152,34,8,9
153,135,8,10
154,33,9,7
155,117,5,10
156,122,7,6
157,111,8,5
158,144,8,6
159,40,8,7
160,45,9,6
161,0,8,10
162,99,5,10
163,131,5,5
164,129,7,6
165,73,9,9
166,72,10,8
167,161,9,6
168,115,9,8
169,129,5,7
170,146,8,7
171,61,8,6
172,27,6,6
173,121,7,9
174,72,9,7
175,162,9,5
176,156,8,5
177,168,8,10
178,141,10,9
179,161,8,8
180,83,7,6
181,150,6,8
182,174,8,7
183,144,5,8
184,40,5,9
185,75,10,5
186,62,6,6
187,131,7,9
188,101,10,7
189,92,9,5
190,117,5,8
191,188,9,6
192,162,10,5
193,42,8,6
194,140,8,9
195,179,7,7
196,119,10,6
197,73,7,7
198,157,10,10
199,89,10,8
200,148,5,7
201,197,8,6
202,34,7,9
203,177,9,7
204,176,6,6
205,92,8,7
206,72,7,7
207,203,5,7
208,187,9,9
209,22,6,10
210,182,9,5
211,139,10,10
212,201,9,10
213,179,6,8
214,146,9,7
215,175,5,7
216,127,7,6
217,117,9,6
218,216,5,5
219,46,6,8
220,51,9,9
221,23,7,9
222,59,7,7
223,120,8,9
224,213,5,7
225,197,8,10
226,175,9,6
227,189,6,8
228,75,9,8
229,206,9,9
230,217,8,8
231,100,8,7
232,117,7,9
233,176,9,5
234,2,9,5
235,66,10,8
236,157,8,6
237,191,8,8
238,177,7,5
239,206,5,5
240,75,9,5
241,187,7,5
242,224,5,6
243,111,6,9
244,118,10,5
245,206,8,10
246,108,9,7
247,218,10,8
248,46,6,8
249,213,9,5
250,245,9,6
251,155,8,10
252,133,5,6
253,222,9,8
254,126,8,7
255,186,7,9
256,179,5,9
257,23,5,6
258,116,10,5
259,161,9,7
260,150,10,10
261,227,10,8
262,29,7,8
263,205,10,9
264,186,6,6
265,155,5,7
266,100,10,10
267,209,7,7
268,117,9,10
269,68,9,10
270,252,10,8
271,243,10,8
272,251,10,10
273,245,7,7
274,268,9,7
275,27,7,9
276,78,5,7
277,118,9,10
278,0,8,5
279,177,6,8
280,225,6,9
281,116,6,7
282,257,8,7
283,175,10,8
284,137,6,5
285,75,9,7
286,137,7,9
287,146,7,7
288,279,7,5
289,46,10,5
290,246,10,9
291,72,5,8
292,162,7,5
293,102,8,6
294,4,7,8
295,2,7,9
296,267,6,7
297,178,7,6
298,226,6,10
299,294,7,5
300,232,8,9
301,29,5,5
302,180,9,10
303,268,9,7
304,218,6,6
305,28,8,5
306,103,9,8
307,72,6,10
308,141,5,8
309,209,8,9
310,59,8,8
311,51,6,9
312,133,5,6
313,226,7,7
314,205,6,5
315,229,8,10
316,226,8,10
317,29,10,5
318,310,6,10
319,284,7,5
320,157,6,8
321,161,5,6
322,245,5,9
323,308,7,8
324,283,10,6
325,135,5,10
326,322,8,6
327,230,7,7
328,108,10,7
329,299,7,9
330,209,5,9
331,213,7,5
332,189,8,8
333,174,6,5
334,182,6,8
335,108,9,10
336,227,8,5
337,277,10,8
338,294,9,5
339,104,5,9
340,108,9,8
341,262,5,7
342,155,7,6
343,156,7,8
344,320,7,10
345,129,7,10
346,223,9,7
347,225,5,5
348,116,8,8
349,215,8,10
350,252,5,5
351,215,6,9
352,327,9,9
353,24,8,5
354,352,6,6
355,23,6,6
356,296,5,7
357,226,9,10
358,102,10,8
359,245,10,10
360,346,9,9
361,230,5,8
362,187,9,10
363,121,10,8
364,336,10,8
365,363,7,6
366,45,6,8
367,235,10,9
368,333,7,8
369,180,10,10
370,343,5,10
371,272,7,10
372,300,8,10
373,60,8,7
374,119,9,9
375,338,9,7
376,119,5,6
377,206,9,8
378,352,6,8
379,173,7,8
380,278,5,7
381,364,8,5
382,132,6,10
383,140,5,10
384,92,7,7
385,285,5,8
386,335,8,9
387,379,6,9
388,336,6,5
389,249,8,9
390,196,5,6
391,359,10,7
392,187,7,5
393,279,10,6
394,204,7,6
395,296,10,8
396,381,5,10
397,209,7,9
398,374,9,5
399,363,8,6
400,399,8,6
401,326,8,5
402,200,5,10
403,359,8,7
404,345,10,7
405,248,5,10
406,403,8,6
407,251,10,9
408,349,6,5
409,354,7,6
410,289,8,8
411,349,6,7
412,243,9,7
413,90,7,8
414,384,6,9
415,346,9,9
416,206,10,5
417,293,7,5
418,326,7,5
419,394,6,9
420,388,7,10
421,412,7,5
422,140,5,8
423,157,10,10
424,380,7,9
425,287,6,7
426,347,7,9
427,65,6,6
428,397,7,5
429,226,6,6
430,141,5,9
431,284,8,5
432,226,6,10
433,432,7,10
434,424,5,6
435,303,7,6
436,322,9,7
437,385,8,5
438,132,10,10
439,434,6,5
440,330,6,9
441,65,10,5
442,62,7,8
443,249,7,6
444,218,10,8
445,253,6,7
446,179,10,6
447,59,7,7
448,284,5,8
449,52,8,5
450,398,7,6
451,311,5,6
452,196,8,8
453,369,7,5
454,7,6,6
455,108,6,5
456,277,9,9
457,65,8,6
458,434,6,10
459,318,9,5
460,322,9,8
461,371,6,5
462,420,5,5
463,380,5,10
464,391,8,6
465,29,10,5
466,402,9,7
467,368,6,6
468,364,9,10
469,280,8,5
470,245,9,6
471,363,6,5
472,443,6,5
473,180,5,5
474,189,5,10
475,402,6,8
476,372,5,7
477,252,6,5
478,125,9,9
479,294,5,7
480,435,5,8
481,396,10,7
482,106,7,7
483,226,9,7
484,24,9,9
485,321,10,10
486,191,6,7
487,108,7,5
488,370,8,8
489,398,9,7
