eid,sid,v,d
1,0,7,5
2,1,10,7
3,2,8,5
4,0,7,5
5,3,5,5
6,2,8,6
7,5,8,10
8,6,5,6
9,5,5,7
10,7,9,9
11,10,8,7
12,11,6,8
13,9,6,5
14,12,8,5
15,9,6,7
16,14,5,9
17,16,5,6
18,17,7,9
19,17,10,6
20,18,9,9
21,16,6,9
22,20,5,10
23,6,5,5
24,22,6,6
25,24,5,9
26,25,8,5
27,20,8,10
28,15,5,7
29,26,5,6
30,27,6,5
31,7,10,9
32,21,10,5
33,30,7,5
34,4,10,10
35,10,10,6
36,11,9,5
37,27,6,8
38,29,8,6
39,38,7,9
40,0,8,6
41,19,8,8
42,2,10,7
43,29,6,8
44,20,8,10
45,19,7,10
46,12,5,6
47,7,7,10
48,47,10,10
49,28,9,9
50,34,5,5
51,48,7,5
52,44,10,5
53,28,5,10
54,47,8,10
55,38,6,9
56,39,10,7
57,32,6,9
58,44,10,8
59,34,10,9
60,20,10,7
61,57,7,9
62,49,10,10
63,6,8,5
64,44,7,5
65,47,7,10
66,61,5,10
67,41,8,10
68,66,9,8
69,48,5,6
70,62,9,7
71,20,6,9
72,54,10,7
73,43,9,10
74,56,8,5
75,39,9,5
76,43,10,10
77,46,9,7
78,67,5,7
79,78,6,9
80,37,10,6
81,58,5,6
82,79,8,8
83,28,5,7
84,57,10,10
85,41,8,8
86,18,8,10
87,69,10,7
88,4,6,9
89,66,8,6
90,57,9,10
91,34,8,6
92,87,7,9
93,35,6,7
94,47,10,6
95,66,7,9
96,90,6,6
97,32,8,6
98,72,10,8
99,44,8,6
100,97,5,8
101,87,7,10
102,50,8,6
103,4,9,10
104,85,6,5
105,77,9,10
106,93,6,8
107,2,5,5
108,34,8,10
109,66,8,7
110,108,5,10
111,81,10,5
112,110,8,5
113,57,8,9
114,72,9,10
115,112,8,10
116,115,9,9
117,105,10,8
118,15,9,8
119,34,10,7
120,6,6,10
121,116,7,8
122,26,8,6
123,112,6,7
124,119,8,9
125,94,7,5
126,72,7,10
127,96,7,7
128,103,10,8
129,103,6,6
130,54,7,7
131,106,5,7
132,125,5,10
133,54,5,6
134,116,9,5
135,95,9,10
136,106,6,7
137,47,7,6
138,57,9,6
139,105,9,7
140,115,7,8
141,108,6,8
142,127,5,7
143,54,6,9
144,68,7,10
145,34,6,8
146,19,10,9
147,138,9,7
148,112,8,9
149,55,6,5
150,126,7,7
151,6,5,8
152,55,8,6
153,131,8,6
154,129,10,5
155,136,7,5
156,154,7,8
157,146,10,7
158,70,5,6
159,44,5,10
160,21,7,5
161,136,5,6
162,156,7,6
163,60,5,7
164,39,5,8
165,142,10,8
166,115,7,7
167,162,7,7
168,66,10,10
169,55,8,10
170,99,5,6
171,154,8,9
172,171,6,6
173,31,10,8
174,119,10,5
175,126,9,10
176,23,5,6
177,151,6,6
178,81,8,7
179,104,8,7
180,116,10,8
181,142,9,6
182,82,9,10
183,15,7,5
184,108,10,5
185,148,6,5
186,175,8,8
187,171,9,9
188,61,7,6
189,78,7,10
190,105,5,6
191,139,6,5
192,116,10,6
193,192,7,5
194,155,6,5
195,129,5,8
196,33,6,7
197,72,10,6
198,108,8,7
199,61,5,9
200,105,10,8
201,193,7,6
