eid,sid,v,d
1,0,7,10
2,1,10,9
3,1,10,9
4,2,6,5
5,3,7,8
6,4,10,7
7,1,5,5
8,4,7,10
9,6,5,9
10,5,7,6
11,8,10,5
12,11,8,6
13,12,6,8
14,10,6,5
15,14,9,5
16,12,7,10
17,10,8,6
18,11,7,7
19,2,6,6
20,18,9,5
21,15,6,6
22,19,5,10
23,21,8,8
24,23,8,9
25,16,5,8
26,21,6,8
27,13,6,5
28,24,5,9
29,24,5,10
30,28,8,7
31,25,6,9
32,7,10,6
33,31,5,9
34,12,8,10
35,30,9,10
36,12,10,5
37,35,5,7
38,37,10,7
39,0,10,7
40,0,10,9
41,38,7,9
42,30,9,7
43,32,7,9
44,38,6,7
45,33,8,5
46,44,6,9
47,20,5,7
48,27,7,9
49,47,6,8
50,45,7,9
51,47,10,9
52,32,9,8
53,11,7,10
54,52,7,9
55,2,6,8
56,40,8,5
57,51,9,9
58,30,10,9
59,21,6,10
60,54,9,9
61,50,8,7
62,45,6,9
63,57,8,6
64,60,7,6
65,58,10,10
66,40,5,6
67,15,6,6
68,21,7,5
69,7,7,7
70,55,5,9
71,38,7,6
72,39,8,8
73,62,8,7
74,21,10,8
75,22,5,5
76,61,8,8
77,54,8,8
78,54,8,10
79,65,5,10
80,51,5,8
81,53,7,6
82,79,5,6
83,53,9,9
84,46,5,10
85,23,6,5
86,56,9,10
87,86,8,10
88,73,8,6
89,86,7,9
90,33,8,8
91,69,5,10
92,11,5,7
93,78,6,5
94,90,7,8
95,69,5,6
96,79,6,8
97,27,8,7
98,52,6,9
99,12,5,10
100,61,10,6
101,30,7,7
102,76,7,5
103,46,9,5
104,40,8,7
105,37,7,9
106,64,8,7
107,102,5,9
108,105,10,10
109,85,5,5
110,105,5,10
111,67,6,8
112,89,8,6
113,29,7,7
114,98,7,9
115,86,8,10
116,96,7,7
117,116,9,6
118,102,9,5
119,91,8,9
120,11,5,9
121,47,9,6
122,105,8,6
123,19,8,5
124,96,6,10
125,101,8,8
126,12,10,10
127,48,9,8
128,80,9,8
129,102,9,7
130,96,9,9
131,61,5,5
132,90,6,6
133,124,10,5
134,9,7,5
135,102,9,7
136,135,8,6
137,128,6,5
138,114,8,5
139,28,6,6
140,90,6,8
141,108,7,9
142,91,10,7
143,57,8,7
144,17,7,5
145,56,5,9
146,91,6,8
147,64,9,7
148,86,8,7
149,142,6,10
150,136,8,7
151,142,10,10
152,140,5,7
153,46,10,10
154,106,6,6
155,116,6,5
156,69,6,6
157,149,10,10
158,100,9,6
159,52,9,10
160,38,6,9
161,51,7,9
162,109,9,7
163,151,5,6
164,127,5,6
165,104,6,6
166,10,5,7
167,164,9,6
168,151,8,5
169,88,5,6
170,11,6,9
171,11,8,9
172,104,10,7
173,72,6,9
174,150,9,6
175,128,5,9
176,30,8,6
177,101,9,7
178,66,6,8
179,158,6,9
180,129,5,7
181,150,5,7
182,4,5,10
183,96,8,9
184,151,8,8
185,97,6,9
186,110,7,7
187,52,7,8
188,153,6,8
189,56,6,5
190,143,5,10
191,128,7,5
192,96,6,6
193,178,8,5
194,165,10,6
195,52,7,9
196,52,7,9
197,113,7,9
198,183,6,5
199,96,8,8
200,148,10,7
201,4,7,9
202,172,6,8
203,1,9,9
204,196,10,9
205,167,7,8
206,24,6,8
207,202,9,6
208,7,8,8
209,138,9,6
210,159,6,7
211,147,10,8
212,153,7,6
213,103,8,7
214,164,10,9
215,203,7,9
216,184,5,10
217,86,5,6
218,90,5,9
219,204,8,7
220,78,5,10
221,172,7,5
222,86,5,5
223,146,10,7
224,39,10,9
225,214,8,7
226,160,10,9
227,104,7,9
228,139,5,10
229,37,8,5
230,47,8,5
231,185,7,9
232,162,7,5
233,67,10,9
234,62,8,10
235,223,9,7
236,211,8,9
237,7,10,9
238,92,9,6
239,97,8,10
240,57,7,8
241,158,9,6
242,223,9,9
243,238,9,10
244,153,6,10
245,0,5,10
246,179,8,6
247,136,7,7
248,151,5,6
249,215,9,6
250,138,10,8
251,79,5,6
252,87,7,8
253,132,7,6
254,156,10,6
255,251,9,9
256,148,8,5
257,134,9,5
258,223,9,5
259,193,6,6
260,213,10,6
261,146,5,5
262,193,5,6
263,245,10,7
264,147,9,10
265,146,5,7
266,151,8,10
267,74,7,6
268,184,9,7
269,68,8,9
270,154,9,9
271,146,5,10
272,180,7,5
273,32,7,10
274,158,8,5
275,234,6,9
276,247,7,8
277,101,5,5
278,193,7,8
279,103,9,7
280,95,7,8
281,148,7,6
282,114,10,8
283,202,6,10
284,72,10,7
285,86,7,10
286,161,5,7
287,263,6,7
288,78,10,6
289,272,9,7
290,138,10,7
291,236,6,10
292,230,8,5
293,136,10,8
294,225,7,9
295,148,6,6
296,195,8,9
297,215,10,9
298,270,10,6
299,239,7,5
300,274,5,8
301,270,9,7
302,30,6,9
303,150,10,8
304,69,10,5
305,172,5,6
306,69,9,6
307,285,5,10
308,183,6,7
309,233,8,8
310,234,8,10
311,148,5,6
312,204,5,8
313,146,9,6
314,70,6,7
315,55,9,9
316,151,8,10
317,65,9,9
318,107,5,10
319,93,7,10
320,215,7,5
321,202,7,6
322,121,8,7
323,215,8,6
324,204,10,5
325,295,8,6
326,229,7,5
327,70,8,10
328,322,9,7
329,195,6,8
330,309,5,6
331,170,5,8
332,45,7,8
333,209,9,5
334,87,6,10
335,303,9,6
336,294,6,5
337,38,5,7
338,228,8,6
339,47,6,8
340,324,7,9
341,42,6,6
342,69,9,8
343,310,8,7
344,291,5,5
345,43,6,6
346,186,7,7
347,7,6,5
348,43,9,5
349,196,8,8
350,340,8,9
351,336,5,6
352,284,5,9
353,340,6,5
354,50,8,7
355,257,6,9
356,268,8,5
357,250,5,9
358,121,5,5
359,222,10,5
360,263,6,6
361,127,5,8
362,265,5,10
363,78,9,9
364,28,6,7
365,344,6,9
366,2,7,8
367,1,6,7
368,215,10,5
369,35,6,10
370,363,6,10
371,263,8,5
372,350,5,9
373,40,5,5
374,274,8,9
375,350,10,7
376,61,6,8
377,70,8,6
378,373,8,7
379,86,5,9
380,307,7,8
381,232,8,9
382,328,7,7
383,338,5,5
384,10,5,5
385,325,8,6
386,148,6,7
387,340,8,6
388,330,9,10
389,231,10,7
390,340,5,6
391,90,7,5
392,203,8,10
393,248,6,7
394,70,8,6
395,296,10,5
396,365,7,9
397,339,7,10
398,233,7,5
399,363,7,10
400,363,9,6
401,392,9,8
402,105,7,6
403,27,5,6
404,371,8,5
405,216,6,6
406,375,9,7
407,318,7,9
408,344,7,5
409,127,8,7
410,136,5,6
411,364,9,8
412,135,10,10
413,70,7,10
414,298,6,5
415,305,8,9
416,313,6,6
417,203,9,9
418,146,8,9
419,306,10,8
420,24,10,9
421,170,7,9
422,87,10,9
423,371,8,7
424,350,5,9
425,302,7,7
426,419,6,9
427,70,5,9
428,55,8,7
429,2,10,6
430,406,7,6
431,215,5,10
432,231,8,9
433,59,8,9
434,106,8,10
435,225,7,8
436,299,8,6
437,371,7,9
438,430,7,6
439,40,7,9
440,31,9,6
441,88,7,7
442,437,7,10
443,357,8,6
444,373,9,9
445,359,7,5
446,259,5,7
447,189,6,8
448,83,10,9
449,309,5,7
450,70,10,6
451,435,8,10
