vertex,x,y,theta,near_x,near_y
1,365.0,528.0,-0.499307685856504,380,500
2,375.0,519.0,-0.2508605582777421,380,500
3,370.0,532.0,-0.29285337982092347,380,500
4,382.0,511.0,0.19816289761856276,380,500
5,388.0,524.0,0.25120640173734843,382.0,511.0
6,392.0,537.0,0.038434291017207856,388.0,524.0
7,354.0,535.0,-0.4883112939484825,365.0,528.0
8,389.0,527.0,0.22501471446652488,382.0,511.0
9,386.0,511.0,0.4990763194281681,380,500
10,394.0,534.0,0.2821877564300068,382.0,511.0
11,391.0,523.0,0.4516013976691178,380,500
12,397.0,535.0,0.44016301582772943,388.0,524.0
13,367.0,533.0,-0.38095376634917955,380,500
14,379.0,528.0,-0.03974276776499558,380,500
15,413.0,528.0,0.5139960602071149,386.0,511.0
16,388.0,522.0,0.30748315709705354,382.0,511.0
17,418.0,537.0,0.009201993739769154,413.0,528.0
18,388.0,522.0,-0.35016323539371436,386.0,511.0
19,392.0,525.0,0.44928091537878634,380,500
20,361.0,533.0,-0.5146379678608601,375.0,519.0
21,374.0,534.0,0.21357874032335322,375.0,519.0
22,378.0,528.0,-0.4353075883612748,382.0,511.0
23,400.0,530.0,0.4666402285937733,391.0,523.0
24,395.0,535.0,0.4765208872653607,389.0,527.0
25,372.0,516.0,-0.46604530767702096,380,500
26,364.0,532.0,-0.440474816915782,375.0,519.0
27,402.0,521.0,0.5003341584909532,386.0,511.0
28,376.0,536.0,-0.11843796060613448,380,500
29,387.0,534.0,0.01630034869082886,382.0,511.0
30,369.0,530.0,0.22156905839480845,372.0,516.0
31,377.0,528.0,-0.4511650799116511,382.0,511.0
32,368.0,528.0,0.1573953748410909,372.0,516.0
33,389.0,535.0,-0.16957188966027648,388.0,524.0
34,395.0,533.0,-0.1098127657326407,391.0,523.0
35,357.0,535.0,-0.337610999503406,365.0,528.0
36,378.0,523.0,-0.48783731781198203,382.0,511.0
37,356.0,534.0,-0.24881052818282234,372.0,516.0
38,411.0,539.0,-0.009859222805829737,402.0,521.0
39,387.0,521.0,0.23950690373457428,382.0,511.0
40,412.0,532.0,0.20223493107630264,402.0,521.0
41,408.0,529.0,0.13768187492068307,402.0,521.0
42,361.0,535.0,-0.4841177417100873,380,500
43,408.0,530.0,0.11735790729579487,402.0,521.0
44,366.0,535.0,0.15061803872718527,372.0,516.0
45,406.0,524.0,0.47995237792427325,386.0,511.0
46,354.0,534.0,-0.3249422230187583,372.0,516.0
47,387.0,535.0,-0.3096366485551033,388.0,524.0
48,384.0,509.0,0.44825349995457564,380,500
49,373.0,529.0,-0.23219795634993806,380,500
50,406.0,534.0,-0.4703691918413967,406.0,524.0
51,396.0,521.0,0.298008646046239,386.0,511.0
52,417.0,530.0,0.5123439508179305,386.0,511.0
53,403.0,532.0,0.26188788280039654,396.0,521.0
54,410.0,532.0,0.12869588884252015,402.0,521.0
55,410.0,527.0,0.4463123217230389,402.0,521.0
56,387.0,527.0,-0.4513797313365986,386.0,511.0
57,383.0,536.0,0.08093320655479919,380,500
58,379.0,512.0,-0.06342089388062572,380,500
59,417.0,534.0,0.3763681478449975,406.0,524.0
60,393.0,528.0,-0.10250220075064947,386.0,511.0
61,404.0,524.0,0.45360077659076325,386.0,511.0
62,418.0,534.0,0.3969896460168377,406.0,524.0
63,349.0,532.0,-0.49956053554295815,372.0,516.0
64,399.0,520.0,0.45414153749431585,386.0,511.0
65,383.0,522.0,-0.12584951420102714,382.0,511.0
66,397.0,535.0,-0.013464229759268864,391.0,523.0
67,363.0,528.0,-0.19213234985666988,372.0,516.0
68,403.0,532.0,-0.40682762037732767,402.0,521.0
69,374.0,529.0,0.18735858569647335,375.0,519.0
70,410.0,533.0,0.10192167197964241,402.0,521.0
71,409.0,537.0,0.07607827066278872,399.0,520.0
72,366.0,535.0,-0.38355393107800007,380,500
73,373.0,538.0,-0.009279012254845287,378.0,528.0
74,385.0,527.0,-0.41570894438829337,384.0,509.0
75,410.0,530.0,0.2637503099385874,402.0,521.0
76,405.0,535.0,-0.3939869116379021,404.0,524.0
77,393.0,527.0,0.04598665639900079,384.0,509.0
78,384.0,535.0,-0.12064969859643054,382.0,511.0
79,402.0,534.0,0.3362594796666821,391.0,523.0
80,395.0,535.0,-0.1553048892859708,386.0,511.0
81,388.0,529.0,0.27386011031747026,380,500
82,412.0,534.0,0.20627129882225292,404.0,524.0
83,388.0,525.0,0.31828650948254145,380,500
84,373.0,530.0,0.5054941652180444,372.0,516.0
85,383.0,528.0,0.1102850444320016,380,500
86,416.0,532.0,0.4646941947437041,386.0,511.0
87,395.0,524.0,0.1225095687567731,386.0,511.0
88,375.0,530.0,-0.17425568446704193,380,500
89,391.0,524.0,-0.014157995181267369,384.0,509.0
90,419.0,532.0,0.4747510665108696,402.0,521.0
91,421.0,537.0,0.16919002217567392,413.0,528.0
92,397.0,532.0,0.49312327649985177,380,500
93,415.0,537.0,0.17703001439968058,402.0,521.0
94,363.0,523.0,-0.46779922234313387,372.0,516.0
95,394.0,531.0,-0.5213041465008448,396.0,521.0
96,387.0,523.0,0.2894945391850613,380,500
97,356.0,535.0,-0.40976147830925347,365.0,528.0
98,396.0,536.0,-0.025362710237533947,384.0,509.0
99,357.0,529.0,-0.38704681057692014,372.0,516.0
100,369.0,527.0,-0.37017350992146986,375.0,519.0
101,369.0,538.0,-0.056657860666590065,368.0,528.0
